_id,Name,Office phone,Website,LGA,Address,Suburb,Post code,Facility type,Latitude,Longitude
1,Aurukun Tip,(07) 4060 6800,http://aurukun.qld.gov.au,Aurukun Shire Council,3.5 Kms East of Aurukun,Aurukun,4871,Landfill,-13.350689,141.762644
2,Bollon Landfill,(07) 4620 8888,http://www.balonne.qld.gov.au,Balonne Shire Council,Balonne Hwy,Bollon,4488,Landfill,-28.028423,147.466715
3,Dirranbandi Landfill,(07) 4620 8888,http://www.balonne.qld.gov.au,Balonne Shire Council,Whyenbah Road,Dirranbandi,4486,Landfill,-28.561892,148.246103
4,Hebel Landfill,(07) 4620 8888,http://www.balonne.qld.gov.au/landfills ,Balonne Shire Council,Castlereagh Highway,Hebel,4486,Landfill,-28.977782,147.801585
5,St George Landfill,(07) 4620 8888,http://www.balonne.qld.gov.au,Balonne Shire Council,Kemp Road,St George,4487,Landfill,-28.065335,148.588035
6,Thallon Landfill,(07) 4620 8888,http://www.balonne.qld.gov.au,Balonne Shire Council,1km off Carnarvon Highway,Thallon,4497,Landfill,-28.646928,148.864592
7,Banana Transfer Station,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Barfield Road,Banana,4702,Transfer station,-24.492026,150.184244
8,Baralaba Transfer Station,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Ashfield Road Extension,Baralaba,4702,Transfer station,-24.190342,149.813593
9,Biloela Transfer Station,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Linkes Road (WEBSITE says: Calvale Road),Biloela,4715,Transfer station,-24.384709,150.5454
10,Biloela Trap Gully Landfill,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Forestry Road,Biloela,4715,Landfill,-24.284485,150.556892
11,Cracow Landfill,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Nathan Gorge Road,Cracow,4719,Landfill,-25.308693,150.305032
12,Jambin Transfer Station,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Jambin - Goovigen Road,Jambin,4702,Transfer station,-24.1909,150.361851
13,Moura Transfer Station and Landfill,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Dawson Highway West of Moura,Moura,4718,Transfer station,-24.587855,149.957968
14,Taroom Landfill,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Leichhardt Highway,Taroom,4420,Landfill,-25.652933,149.807848
15,Thangool Transfer Station,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Cnr Burnett Highway and the Cocks - Millard Road,Thangool,4716,Transfer station,-24.494972,150.592667
16,Theodore Landfill,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Goolaara - Heinekes Road,Theodore,4719,Transfer station,-24.911648,150.085172
17,Wowan Landfill,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Dee River Road,Wowan,4702,Transfer station,-23.900431,150.227331
18,Alpha Refuse Disposal Site,(07) 4651 5600,http://www.barcaldinerc.qld.gov.au,Barcaldine Regional Council,Gordon Street,Alpha,4724,Landfill,-23.658043,146.621495
19,Barcaldine Waste Landfill,(07) 4651 5600,http://www.barcaldinerc.qld.gov.au,Barcaldine Regional Council,Landsborough Highway,Barcaldine,4725,Landfill,-23.589264,145.27856
20,Jericho Refuse Disposal Site,(07) 4651 5600,http://www.barcaldinerc.qld.gov.au,Barcaldine Regional Council,Jericho - Aramac Road,Jericho,4728,Landfill,-23.59012,146.124834
21,Muttaburra Refuse Disposal Site,(07) 4651 5600,http://www.barcaldinerc.qld.gov.au,Barcaldine Regional Council,Hospital Road,Muttaburra,4732,Landfill,-22.601405,144.52918
22,Jundah Refuse Tip,(07) 4658 6900,http://www.barcoo.qld.gov.au,Barcoo Shire Council,Off Jundah - Quilpie Road,Jundah,4736,Landfill,-24.842919,143.083336
23,Stonehenge Refuse Tip,(07) 4658 6900,http://www.barcoo.qld.gov.au,Barcoo Shire Council,Off Stonehenge Access Road,Stonehenge,4730,Landfill,-24.352673,143.30641
24,Windorah Refuse Tip,(07) 4658 6900,http://www.barcoo.qld.gov.au,Barcoo Shire Council,Off Albert Street,Windorah,4481,Landfill,-25.413237,142.649668
25,Blackall Landfill,(07) 4621 6600,http://www.btrc.qld.gov.au,Blackall - Tambo Regional Council,Evora Road,Blackall,4472,Landfill,-24.403807,145.475478
26,Tambo Landfill,(07) 4621 6600,http://www.btrc.qld.gov.au,Blackall - Tambo Regional Council,Springsure Road,Tambo,4478,Landfill,-24.85227,146.256298
27,Boulia Rubbish Tip,(07) 4746 3188,http://www.boulia.qld.gov.au/,Boulia Shire Council,Boulia - Bedourie Road,Boulia,4829,Landfill,-22.930035,139.916856
28,Admax Processing - Virginia,(07) 3865 2411,"",Brisbane City Council,48 Telford Street,Virginia,4014,Metal recycling,-27.367965,153.06425
29,"Alex Fraser, Nudgee",136 135,http://www.alexfraser.com.au,Brisbane City Council,1512 Nudgee Road,Nudgee Beach,4014,Construction and demolition recycling,-27.364564,153.100649
30,AMR RECYCLERS - Coopers Plains,(07) 3344 4444,http://www.actionmetalrecyclers.com.au/,Brisbane City Council,68 Selhurst Street,Coopers Plains,4108,Metal recycling,-27.571354,153.03233
31,Bat Rec - Wacol,(07) 3879 4507,http://www.batrec.com/,Brisbane City Council,Shed 3A/61 River Road,Redbank,4076,Battery recycling,-27.599902,152.935709
32,BMI Nudgee Road - Hendra,(07) 3268 2677,https://www.bmigroup.com.au/portfolio/waste-disposal-brisbane/,Brisbane City Council,538 Nudgee Road,Hendra,4011,Transfer station,-27.40886,153.07406
33,Chandler Transfer Station,(07) 3027 4655,http://www.brisbane.qld.gov.au,Brisbane City Council,728 Tilley Road,Chandler,4155,Transfer station,-27.514202,153.15159
34,Ferny Grove Transfer Station,(07) 3027 4655,http://www.brisbane.qld.gov.au,Brisbane City Council,101 Upper Kedron Road,Ferny Grove,4055,Transfer station,-27.410861,152.937937
35,J.J. Richards - Wacol,(07) 3488 9600,http://www.jjrichards.com.au,Brisbane City Council,15 Production Street,Wacol,4076,Transfer station,-27.589565,152.932129
36,Nudgee Transfer Station,(07) 3027 4655,http://www.brisbane.qld.gov.au,Brisbane City Council,1402 Nudgee Road,Nudgee Beach,4123,Transfer station,-27.361005,153.100585
37,ONESTEEL Recycling - Hemmant,(07) 3131 2300,http://www.onesteel.com,Brisbane City Council,61 Anton Road,Hemmant,4173,Metal recycling,-27.435189,153.134071
38,Pinkenba Waste Transfer Station,(07) 3260 2100,http://www.glbquarry.com.au,Brisbane City Council,45 Eagle Farm Road,Pinkenba,4008,Construction and demolition recycling,-27.428282,153.115381
39,Tall Ingots - Yeerongpilly,(07) 3892 2033,http://www.tallingots.com.au/,Brisbane City Council,12 Tennyson Memorial Avenue,Yeerongpilly,4105,Metal recycling,-27.527422,153.012283
40,Transpacific Resource Recycling - Willawong,(07) 3723 7600,http://www.transpacific.com.au,Brisbane City Council,343 Bowhill Road,Willawong,4110,Construction and demolition recycling,-27.582508,152.99729
41,Willawong Transfer Station,(07) 3027 4655,http://www.brisbane.qld.gov.au,Brisbane City Council,360 Sherbrooke Road,Willawong,4110,Transfer station,-27.599995,153.004013
42,Hungerford Landfill,(07) 4621 8000,http://www.bulloo.qld.gov.au,Bulloo Shire Council,Chale Street,Hungerford,4493,Landfill,-28.991986,144.415258
43,Noccundra Landfill,(07) 4621 8000,http://www.bulloo.qld.gov.au,Bulloo Shire Council,Warry Gate Road,Noccundra,4492,Landfill,-27.8178,142.582888
44,Thargomindah Landfill and Transfer Station,(07) 4621 8000,http://www.bulloo.qld.gov.au,Bulloo Shire Council,Refuse Lane,Thargomindah,4492,Landfill,-27.981892,143.820842
45,Avondale Waste Management Facility,(07) 4130 4420,http://bundaberg.qld.gov.au/,Bundaberg Regional Council,17 Pollocks Road,Avondale,4670,Landfill,-24.764123,152.1511
46,Booyal Transfer Station,(07) 4130 4420,http://bundaberg.qld.gov.au/,Bundaberg Regional Council,Old School Road,Booyal,4671,Transfer station,-25.208147,152.052977
47,Bundaberg Waste Management Facility,(07) 4130 4420,http://bundaberg.qld.gov.au/,Bundaberg Regional Council,46 University Drive (Samuels Road),Bundaberg,4670,Landfill,-24.89783,152.309994
48,Buxton Transfer Station,(07) 4130 4420,http://bundaberg.qld.gov.au/,Bundaberg Regional Council,"Gregory Street (Website says ""Powers street"")",Buxton,4660,Transfer station,-25.195982,152.535493
49,Childers Waste Management Facility,(07) 4130 4420,http://bundaberg.qld.gov.au/,Bundaberg Regional Council,Nissens Lane,Childers,4660,Landfill,-25.246672,152.265092
50,Cordalba Transfer Station,(07) 4130 4420,http://bundaberg.qld.gov.au/,Bundaberg Regional Council,Cemetary Road,Cordalba,4660,Transfer station,-25.153803,152.214991
51,Meadowvale Waste Management Facility,(07) 4130 4420,http://bundaberg.qld.gov.au/,Bundaberg Regional Council,443 Rosedale Road,Meadowvale,4670,Transfer station,-24.82426,152.273301
52,Qunaba Waste Management Facility,(07) 4130 4420,http://bundaberg.qld.gov.au/,Bundaberg Regional Council,180 Potters Road,Mon Repos (website says Bargara),4670,Landfill,-24.810127,152.428908
53,South Kolan Transfer Station,(07) 4130 4420,http://bundaberg.qld.gov.au/,Bundaberg Regional Council,446 Birthamba Road,South Kolan,4670,Transfer station,-24.894936,152.165248
54,Tirroan Waste Management Facility,(07) 4130 4420,http://bundaberg.qld.gov.au/,Bundaberg Regional Council,"Dalesford Road (website says 'Tablelands road, Dalesford via Gin Gin') ",Tirroan,4671,Landfill,-25.004054,151.919707
55,Wide Bay Capricorn Battery Recyclers - Bundaberg North,(07) 4151 4600,http://www.wbcbatteryrecyclers.com.au,Bundaberg Regional Council,96 Mt Perry Road Shed C,Bundaberg North,4670,Battery recycling,-24.85078,152.322617
56,Woodgate Waste Transfer Station,(07) 4130 4420,http://bundaberg.qld.gov.au/,Bundaberg Regional Council,1683 Woodgate Road,Woodgate,4660,Transfer station,-25.106099,152.537061
57,Giru Transfer Station,(07) 4783 9800,http://www.burdekin.qld.gov.au,Burdekin Shire Council,Boat Ramp Road (COUNCIL WEBSITE: Cromarty Creek Landing Road),Giru,4809,Transfer station,-19.49508,147.095455
58,Kirknie Road Landfill,(07) 4783 9800,http://www.burdekin.qld.gov.au,Burdekin Shire Council,1608 Kirknie Road,Home Hill,4806,Landfill,-19.737002,147.291939
59,Burketown Waste Disposal Facility,(07) 4745 5100,http://www.burke.qld.gov.au,Burke Shire Council,Wills Developmental Road,Burketown,4830,Landfill,-17.75211,139.524547
60,Babinda Transfer Station,(07) 4044 3044,http://www.cairns.qld.gov.au,Cairns Regional Council,Lot 1 Kruckow Road,Babinda,4861,Transfer station,-17.313016,145.961782
61,Cairns Mulch,(07) 4067 1555,http://www.cairnsmulch.com.au,Cairns Regional Council,44 - 56 Jackson Drive,Woree,4870,Organic processing,-16.959385,145.750387
62,Evergreen Top Dressing and Sand,(07) 4056 1024,"",Cairns Regional Council,205 Moller Road,Aloomba,4871,Landfill,-17.128536,145.835044
63,Gordonvale Transfer Station,(07) 4044 3044,http://www.cairns.qld.gov.au,Cairns Regional Council,Lot 1 Bruce Highway,Gordonvale,4871,Transfer station,-17.121097,145.816642
64,Lemura Sand Co Pty Ltd,(07) 4058 1187,"",Cairns Regional Council,Brinsmead - Kamerunga Road,Lake Placid,4878,Landfill,-16.871667,145.690556
65,Medalfield - Kamerunga,(07) 4034 1784,"",Cairns Regional Council,76 Lower Freshwater Road,Kamerunga,4870,Landfill,-16.874946,145.692524
66,Northern Sands Pty Ltd,(07) 4055 9585,http://northernsands.com.au,Cairns Regional Council,Lot 5 Captain Cook Highway,Holloways Beach,4870,Landfill,-16.856355,145.722666
67,Portsmith Transfer Station,(07) 4044 3044,http://www.cairns.qld.gov.au,Cairns Regional Council,37-51 Lyons Street,Portsmith,4870,Transfer station,-16.948788,145.762655
68,Smithfield Transfer Station,(07) 4044 3044,http://www.cairns.qld.gov.au,Cairns Regional Council,Lot 1 Dunne Road,Smithfield,4871,Transfer station,-16.825862,145.704854
69,Karumba Waste Facility,(07) 4745 2200,http://www.carpentaria.qld.gov.au,Carpentaria Shire Council,Cnr Karumba Dev Road & Karumba Point Road,Karumba,4890,Landfill,-17.459391,140.857419
70,Normanton Waste Disposal Facility,(07) 4745 2200,http://www.carpentaria.qld.gov.au,Carpentaria Shire Council,Burke Development Road,Normanton,4890,Landfill,-17.687845,141.055627
71,Bells Creek Waste Transfer Station,(07) 4043 9140,http://www.cassowarycoast.qld.gov.au,Cassowary Coast Regional Council,Off the Bruce Highway between Silkwood and El Arish,Daveson,4855,Transfer station,-17.780339,146.029509
72,Cardwell Waste Transfer Station,(07) 4043 9140,http://www.cassowarycoast.qld.gov.au,Cassowary Coast Regional Council,Lawson Drive,Cardwell,4849,Transfer station,-18.244934,146.008634
73,Stoters Hill Waste Transfer Station and Landfill,(07) 4043 9140,http://www.cassowarycoast.qld.gov.au,Cassowary Coast Regional Council,Quarry Drive off Palmerston Highway,Stoters Hill,4860,Landfill,-17.539163,145.971866
74,Tully Landfill / Tully Transfer Station,(07) 4043 9140,http://www.cassowarycoast.qld.gov.au,Cassowary Coast Regional Council,374 Tully Gorge Road,Tully,4860,Landfill,-17.939936,145.892538
75,Blackwater Landfill,1300 242 686,http://www.centralhighlands.qld.gov.au,Central Highlands Regional Council,31 Ardurad Road,Blackwater,4717,Landfill,-23.63185,148.874626
76,Bluff Transfer Station,1300 242 686,http://www.centralhighlands.qld.gov.au,Central Highlands Regional Council,Bluff - Jellinbah Road,Bluff,4720,Transfer station,-23.571856,149.060597
77,Bogantungan Landfill,1300 242 686,http://www.centralhighlands.qld.gov.au,Central Highlands Regional Council,Capricorn Highway West of Emerald,Bogantungan,4720,Landfill,-23.657347,147.298054
78,Capella Landfill,1300 242 686,http://www.centralhighlands.qld.gov.au,Central Highlands Regional Council,Capella-Clermont Highway (approx 3 km from Capella Post Office),Capella,4723,Landfill,-23.070772,148.008417
79,Dingo Transfer Station,1300 242 686,http://www.centralhighlands.qld.gov.au,Central Highlands Regional Council,56 Normanby Street,Dingo,4720,Transfer station,-23.642444,149.325122
80,Duaringa Transfer Station,1300 242 686,http://www.centralhighlands.qld.gov.au,Central Highlands Regional Council,50 Elizabeth Street,Duaringa,4720,Transfer station,-23.718354,149.683198
81,Lochlees Landfill,1300 242 686,http://www.centralhighlands.qld.gov.au,Central Highlands Regional Council,Lochlees Road,Emerald,4720,Landfill,-23.552146,148.26774
82,Rolleston Landfill,1300 242 686,http://www.centralhighlands.qld.gov.au,Central Highlands Regional Council,Rolleston Aerodrome Road ,Rolleston,4702,Landfill,-24.456492,148.62353
83,Sapphire Rubyvale Landfill,1300 242 686,http://www.centralhighlands.qld.gov.au,Central Highlands Regional Council,Sapphire - Rubyvale Road,Rubyvale,4720,Landfill,-23.437884,147.724376
84,Springsure Landfill,1300 242 686,http://www.centralhighlands.qld.gov.au,Central Highlands Regional Council,Springsure - Tambo Road (approx 3 km from town),Springsure,4722,Landfill,-24.114006,148.068788
85,Tieri Landfill,1300 242 686,http://www.centralhighlands.qld.gov.au,Central Highlands Regional Council,Capella - Tieri Road (approx 3km from Tieri),Tieri,4723,Transfer station,-23.043828,148.328257
86,Willows Landfill,1300 242 686,http://www.centralhighlands.qld.gov.au,Central Highlands Regional Council,942 Willows Road,Willows,4720,Landfill,-23.731466,147.531267
87,Greenvale Landfill,(07) 4761 5300,http://www.charterstowers.qld.gov.au,Charters Towers Regional Council,Gregory Development Road,Greenvale,4816,Landfill,-18.99672,144.950974
88,Pentland Landfill,(07) 4761 5300,http://www.charterstowers.qld.gov.au,Charters Towers Regional Council,Council Reserve off Aramac Road,Pentland,4816,Landfill,-20.532645,145.39935
89,Ravenswood Landfill,(07) 4761 5300,http://www.charterstowers.qld.gov.au,Charters Towers Regional Council,Burdekin Falls Dam Road,Ravenswood,4816,Landfill,-20.12348,146.885619
90,Stubley Street Landfill,(07) 4761 5300,http://www.charterstowers.qld.gov.au,Charters Towers Regional Council,1 Stubley Street,Charters Towers,4820,Landfill,-20.056713,146.244571
91,Cherbourg Rubbish Tip,(07) 4168 1866,http://www.cherbourg.qld.gov.au,Cherbourg Aboriginal Shire Council,1 km SW Bulgi Street,Cherbourg,4605,Landfill,-26.299921,151.946985
92,Cloncurry Regulated Waste Facility,(07) 4742 4100,http://www.cloncurry.qld.gov.au,Cloncurry Shire Council,Zingari Road 6 km North town,Cloncurry,4824,Landfill,-20.652099,140.518153
93,Cloncurry Waste Facility,(07) 4742 4100,http://www.cloncurry.qld.gov.au,Cloncurry Shire Council,Burke Development Road 4.5 km NW town,Cloncurry,4824,Landfill,-20.672657,140.478858
94,Dajarra Waste Facility,(07) 4742 4100,http://www.cloncurry.qld.gov.au,Cloncurry Shire Council,Diamantina Development Road 2 km SW of town,Dajarra,4825,Landfill,-21.705116,139.493894
95,Ayton Landfill,(07) 4069 5444,http://www.cook.qld.gov.au,Cook Shire Council,2703 Bloomfield Road,Ayton,4895,Transfer station,-15.899773,145.342273
96,Coen Landfill,(07) 4069 5444,http://www.cook.qld.gov.au,Cook Shire Council,Oscar Creek Road,Coen,4892,Landfill,-13.952374,143.203309
97,Cooktown Landfill,(07) 4069 5444,http://www.cook.qld.gov.au,Cook Shire Council,Macmillan Street,Cooktown,4895,Transfer station,-15.470947,145.214618
98,Lakeland Landfill,(07) 4069 5444,http://www.cook.qld.gov.au,Cook Shire Council,Honey Dam Road,Lakeland,4895,Transfer station,-15.868615,144.821714
99,Laura Landfill,(07) 4069 5444,http://www.cook.qld.gov.au,Cook Shire Council,Peninsula Developmental Road,Laura,4871,Landfill,-15.558597,144.440637
100,Croydon Waste Facility,(07) 4748 7100,http://www.croydon.qld.gov.au,Croydon Shire Council,Claraville Road,Croydon,4871,Landfill,-18.226319,142.241441
101,Bedourie Landfill,(07) 4746 1202,http://www.diamantina.qld.gov.au,Diamantina Shire Council,Cane Grass Road is the closest road -24.3418 139.461778,Bedourie,4829,Landfill,-24.341805,139.461778
102,Birdsville Landfill,(07) 4746 1202,http://www.diamantina.qld.gov.au,Diamantina Shire Council,Adelaide Street is the closest street - 25.9003 139.338257,Birdsville,4829,Landfill,-25.900307,139.338257
103,Doomadgee Waste Disposal Facility,(07) 4745 8263,"",Doomadgee Aboriginal Shire Council,Wollagarang Road,Doomadgee,4830,Landfill,-17.932806,138.83199
104,Killaloe Landfill,(07) 4099 9444,http://www.douglas.qld.gov.au,Douglas Shire Council,Lot 170 Killaloe Dump Road,Killaloe,4877,Landfill,-16.482295,145.421132
105,Newell Beach Transfer Station & Landfill,(07) 4099 9444,http://www.douglas.qld.gov.au,Douglas Shire Council,Lot 287 Rankin Street,Newell Beach,4877,Landfill,-16.43234,145.403144
106,Einasleigh Landfill,(07) 4062 1233,http://www.etheridge.qld.gov.au,Etheridge Shire Council,Baroota Street,Einasleigh,4871,Landfill,-18.527712,144.088169
107,Forsayth Landfill,(07) 4062 1233,http://www.etheridge.qld.gov.au,Etheridge Shire Council,North Heads Road,Forsayth,4871,Landfill,-18.584136,143.591787
108,Georgetown Landfill,(07) 4062 1233,http://www.etheridge.qld.gov.au,Etheridge Shire Council,Georgetown to Forsayth Road,Georgetown,4871,Landfill,-18.301157,143.542031
109,Mt Surprise Landfill,(07) 4062 1233,http://www.etheridge.qld.gov.au,Etheridge Shire Council,Gulf Development Road,Mt Surprise,4871,Landfill,-18.130066,144.343748
110,Hughenden Landfill,(07) 4741 2900,http://www.flinders.qld.gov.au,Flinders Shire Council,at the end of McLaren Street,Hughenden,4821,Landfill,-20.848379,144.172951
111,Prairie Landfill,(07) 4741 2900,http://www.flinders.qld.gov.au,Flinders Shire Council,Prairie - Muttaburra Road,Prairie,4821,Landfill,-20.878662,144.603571
112,Stamford Landfill,(07) 4741 2900,http://www.flinders.qld.gov.au,Flinders Shire Council,Winton Road,Stamford,4821,Landfill,-21.262126,143.810967
113,Torrens Creek Landfill,(07) 4741 2900,http://www.flinders.qld.gov.au,Flinders Shire Council,Bedford Street,Torrens Creek,4821,Landfill,-20.769176,145.013705
114,Aramara Landfill,1300 794 929,http://www.frasercoast.qld.gov.au,Fraser Coast Regional Council,Maryborough - Biggenden Road,Aramara,4650,Landfill,-25.607163,152.282098
115,Bauple Transfer Station,1300 794 929,http://www.frasercoast.qld.gov.au,Fraser Coast Regional Council,Bauple Drive,Bauple,4650,Transfer station,-25.774997,152.601486
116,Boonooroo Landfill,1300 794 929,http://www.frasercoast.qld.gov.au,Fraser Coast Regional Council,Boonooroo Road,Boonooroo,4650,Landfill,-25.649486,152.857179
117,Burrum Heads Transfer Station,1300 794 929,http://www.frasercoast.qld.gov.au,Fraser Coast Regional Council,Orchid Drive,Burrum Heads,4659,Transfer station,-25.2086,152.614676
118,Granville Landfill,1300 794 929,http://www.frasercoast.qld.gov.au,Fraser Coast Regional Council,Maryborough - Cooloola Road,Granville,4650,Landfill,-25.559173,152.740414
119,Howard Transfer Station,1300 794 929,http://www.frasercoast.qld.gov.au,Fraser Coast Regional Council,Powerhouse Road,Howard,4659,Transfer station,-25.322419,152.573955
120,Maryborough Landfill,1300 794 929,http://www.frasercoast.qld.gov.au,Fraser Coast Regional Council,Saltwater Creek Road,Maryborough,4650,Landfill,-25.50692,152.709473
121,Nikenbah Transfer Station,1300 794 929,http://www.frasercoast.qld.gov.au,Fraser Coast Regional Council,Aalborg Road North,Nikenbah,4655,Transfer station ,-25.315444,152.804513
122,Tinana Landfill,1300 794 929,http://www.frasercoast.qld.gov.au,Fraser Coast Regional Council,Bosel Road,Tinana,4650,Landfill,-25.548524,152.646958
123,Toogoom Landfill,1300 794 929,http://www.frasercoast.qld.gov.au,Fraser Coast Regional Council,O'Regan Creek Road,Toogoom,4655,Landfill,-25.260337,152.67245
124,Transpacific Cleanaway - Hervey Bay MRF,(07) 3888 0341,http://www.transpacific.com.au/content/home.aspx?navId=295,Fraser Coast Regional Council,48-50 Industrial Avenue,Dundowran,4655,Transfer station,-25.297266,152.792428
125,Yengarie Transfer Station,1300 794 929,http://www.frasercoast.qld.gov.au,Fraser Coast Regional Council,Cnr Mungar & Quarry Roads,Yengarie,4650,Transfer station,-25.532889,152.620364
126,Benaraby Regional Landfill,(07) 4970 0700,http://www.gladstone.qld.gov.au,Gladstone Regional Council,48567 Bruce Highway,Benaraby,4680,Landfill,-24.02285,151.353752
127,Bororen Transfer Station,(07) 4970 0700,http://www.gladstone.qld.gov.au,Gladstone Regional Council,Bruce Highway,Bororen,4678,Transfer station,-24.22253,151.483872
128,Calliope Transfer Station,(07) 4970 0700,http://www.gladstone.qld.gov.au,Gladstone Regional Council,131 Racecourse Road,Calliope,4680,Transfer station,-24.02576,151.201196
129,Gladstone Transfer Station,(07) 4970 0700,http://www.gladstone.qld.gov.au,Gladstone Regional Council,Joe Joseph Drive,Gladstone,4680,Transfer station,-23.859407,151.23653
130,J.J. Richards - Gladstone,(07) 3488 9600,http://www.jjrichards.com.au,Gladstone Regional Council,46 Bensted Street,Callemondah,4680,Transfer station,-23.860944,151.224676
